Place,TmPl,Name,Cl,School,Type,3k,3k_Place,3k_TmPl,5k,5k_Place,5k_TmPl,8k,8k_Place,8k_TmPl,Finish,Location,3k_Sec,5k_Sec,8k_Sec,Finish_Sec
118,94,Brandon Fellows,SO,Michigan,Team,9:02,112,84,15:25,123,96,24:50,112,88,31:17.3,Indiana State,542,925,1490,1877
119,,Brendan Fennell,SR,American,Individual,8:57,26,,15:17,65,,24:44,93,,31:18.4,Indiana State,537,917,1484,1878
120,95,Justin Grunewald,SR,Minnesota,Team,9:05,149,116,15:25,124,97,24:49,109,86,31:19.6,Indiana State,545,925,1489,1880
121,96,Craig Forys,FR,Michigan,Team,9:04,133,102,15:32,159,126,25:01,136,107,31:20.0,Indiana State,544,932,1501,1880
122,,Jeff Scull,JR,Syracuse,Individual,9:00,81,,15:23,96,,24:55,125,,31:20.5,Indiana State,540,923,1495,1880
123,97,Patterson Wilhelm,FR,William & Mary,Team,8:59,62,47,15:24,106,81,24:56,130,102,31:20.8,Indiana State,539,924,1496,1881
124,98,Dustin Bybee,SR,BYU,Team,9:03,122,92,15:27,135,106,25:00,135,106,31:20.9,Indiana State,543,927,1500,1881
125,,Dan Hedgecock,SO,Missouri,Individual,9:04,134,,15:28,144,,25:04,146,,31:21.2,Indiana State,544,928,1504,1881
126,99,Taylor Smith,SR,Virginia,Team,9:11,215,177,15:37,185,150,25:01,137,108,31:21.3,Indiana State,551,937,1501,1881
127,100,John Beattie,JR,Tulsa,Team,9:07,172,138,15:27,139,109,24:55,126,99,31:21.5,Indiana State,547,927,1495,1882
128,101,Wesley Smith,SR,NC State,Team,8:59,63,48,15:15,62,46,24:48,105,83,31:21.9,Indiana State,539,915,1488,1882
129,102,Joel Stansloski,SR,Tulsa,Team,9:07,173,139,15:33,164,131,25:04,147,117,31:22.0,Indiana State,547,933,1504,1882
130,103,Justin Houck,JR,Portland,Team,9:06,157,124,15:31,154,122,24:54,123,97,31:22.6,Indiana State,546,931,1494,1883
131,104,Mark Buckingham,SR,Florida State,Team,8:58,50,36,15:16,64,48,24:55,127,100,31:23.9,Indiana State,538,916,1495,1884
132,105,Michael Kerrigan,SR,Villanova,Team,9:02,113,85,15:32,158,125,25:06,153,122,31:24.4,Indiana State,542,932,1506,1884
133,106,Dave Mock,SR,William & Mary,Team,9:06,158,125,15:38,188,153,25:11,162,130,31:24.5,Indiana State,546,938,1511,1885
134,107,Jake Walker,SO,Notre Dame,Team,9:08,190,156,15:31,156,124,25:06,154,123,31:24.7,Indiana State,548,931,1506,1885
135,,Pat Sovacool,JR,Miami (Ohio),Individual,8:59,64,,15:20,83,,24:58,133,,31:24.7,Indiana State,539,920,1498,1885
136,,Matt Williams,JR,Air Force,Individual,9:09,199,,15:35,173,,25:05,150,,31:25.0,Indiana State,549,935,1505,1885
137,108,Chris Kollar,SR,NC State,Team,9:01,98,70,15:22,92,71,24:56,131,103,31:25.3,Indiana State,541,922,1496,1885
138,109,Ian Fitzgerald,SR,William & Mary,Team,8:58,51,37,15:11,37,27,24:31,60,48,31:25.5,Indiana State,538,911,1471,1885
139,110,Ben Massam,SO,William & Mary,Team,8:59,65,49,15:23,94,73,24:58,134,105,31:25.5,Indiana State,539,923,1498,1885
140,111,Ben Hubers,FR,Indiana,Team,9:09,200,164,15:39,193,157,25:04,148,118,31:25.5,Indiana State,549,939,1504,1885
141,112,Sean Fleming,SO,Oklahoma State,Team,9:13,227,189,15:44,213,176,25:17,183,148,31:25.6,Indiana State,553,944,1517,1886
142,113,Kari Karlsson,FR,California,Team,9:07,174,140,15:36,175,140,25:09,156,125,31:26.1,Indiana State,547,936,1509,1886
143,114,Pete Janson,SR,Colorado,Team,9:10,206,168,15:34,170,136,25:03,141,112,31:26.5,Indiana State,550,934,1503,1886
144,115,John Black,JR,Michigan,Team,9:03,123,93,15:29,146,114,25:03,142,113,31:26.5,Indiana State,543,929,1503,1886
